,Occupational_Category,Number_of_Full_Time_Year_Round_Workers_Total_Estimate,Number_of_Full_Time_Year_Round_Workers_Total_MOE,Number_of_Full_Time_Year_Round_Workers_Men_Estimate,Number_of_Full_Time_Year_Round_Workers_Men_MOE,Number_of_Full_Time_Year_Round_Workers_Women_Estimate,Number_of_Full_Time_Year_Round_Workers_Women_MOE,Percentage_of_Women_in_Occupational_Category_Estimate,Percentage_of_Women_in_Occupational_Category_MOE,Median_Earnings_In_Dollars_Total_Estimate,Median_Earnings_In_Dollars_Total_MOE,Median_Earnings_In_Dollars_Men_Estimate,Median_Earnings_In_Dollars_Men_MOE,Median_Earnings_In_Dollars_Women_Estimate,Median_Earnings_In_Dollars_Women_MOE,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_Estimate,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_MOE
476,Laundry and dry-cleaning workers,116109,6198,46921.0,4130,69188.0,4924,59.58883463,2.8,22823,815,26697,1327,21245,589,79.57822976,4.5
477,"Pressers, textile, garment, and related materials",24529,2939,10530.0,2113,13999.0,2040,57.07122182,4.7,21308,1326,26667,2054,19094,2737,71.60160498,11.7
478,Sewing machine operators,129635,6981,38708.0,3745,90927.0,5489,70.14077988,1.9,23027,832,25189,1426,22358,546,88.76096709,5.5
481,"Tailors, dressmakers, and sewers",38822,3083,11704.0,2007,27118.0,2572,69.85214569,3.6,26152,1226,36186,5464,23975,1596,66.25490521,10.9
499,"Crushing, grinding, polishing, mixing, and blending workers",66068,4467,57898.0,3958,8170.0,1565,12.3660471,2.2,37087,999,38136,1989,29582,4393,77.56975037,12.2
500,Cutting workers,51485,4008,41676.0,3631,9809.0,1538,19.05215111,2.6,30780,853,31798,955,26199,1001,82.39197434,4
503,"Inspectors, testers, sorters, samplers, and weighers",666282,15505,414113.0,11109,252169.0,9309,37.84718783,1.1,41029,316,47048,661,32183,437,68.40460806,1.3
504,Jewelers and precious stone and metal workers,25368,3060,17016.0,2193,8352.0,1728,32.92336802,5.5,32523,3614,40173,3245,25842,2140,64.32678665,7.4
505,"Medical, dental, and ophthalmic laboratory technicians",58471,3788,30351.0,2615,28120.0,2534,48.09221665,3.0,36146,1063,41304,1186,32104,687,77.72612822,2.8
506,Packaging and filling machine operators and tenders,204703,7819,94628.0,5510,110075.0,5236,53.77302726,1.5,27178,456,31391,595,24791,803,78.97486541,3
507,Painting workers,126596,5775,111321.0,5682,15275.0,2207,12.06594205,1.7,36898,1117,39257,2251,26885,1570,68.48460147,5.6
508,Photographic process workers and processing machine operators,17651,2176,9662.0,1685,7989.0,1478,45.26089173,6.2,31397,1618,37525,9488,26314,5089,70.12391739,22.3
518,"Production workers, all other",953539,16363,704041.0,13156,249498.0,8381,26.16547409,0.8,35030,565,37414,556,27236,369,72.79627947,1.5
519,Transportation and Material Moving Occupations,6605581,46960,5722980.0,41102,882601.0,18409,13.4,0.2,36644,146,38520,388,27349,264,71,1
520,Transportation Occupations,4017489,37301,3621746.0,34183,395743.0,12387,9.850506125,0.3,41788,165,42389,187,31991,372,75.5,1
521,Supervisors of transportation and material moving workers,196226,6278,156914.0,5979,39312.0,3174,20.03404238,1.5,51318,678,53614,2090,40710,1332,75.93165964,3.9
524,Flight attendants,53686,5598,15733.0,2749,37953.0,4289,70.69440823,3.1,48586,3456,59579,4868,42869,6315,71.95320499,12.1
526,Bus drivers,280228,10080,178493.0,7724,101735.0,5865,36.30436644,1.6,35222,562,38539,1936,29570,1148,76.72747087,4.9
